date,adj_close,close,high,low,open,volume,symbol
2021-06-28,944.7868041992188,962.6886596679688,981.37939453125,960.3811645507812,979.3026733398438,20277042,RELIANCE_NS
2021-06-29,945.60205078125,963.5193481445312,973.3031616210938,961.8118286132812,964.3038940429688,27144063,RELIANCE_NS
2021-06-30,955.951171875,974.0646362304688,979.6026000976562,965.0192260742188,967.4190063476562,19762858,RELIANCE_NS
2021-07-01,950.1991577148438,968.20361328125,979.8333740234375,966.8421630859375,977.4566650390625,12534407,RELIANCE_NS
2021-07-02,964.284912109375,982.5562133789062,984.3330078125,965.8960571289062,967.76513671875,14086620,RELIANCE_NS
2021-07-05,973.8641357421875,992.3169555664062,993.8629760742188,983.6868896484375,985.9713134765625,11702287,RELIANCE_NS
2021-07-06,962.3599853515625,980.5948486328125,991.7169799804688,978.4719848632812,989.8941040039062,10070124,RELIANCE_NS
2021-07-07,955.679443359375,973.7877197265625,981.956298828125,968.2266845703125,981.956298828125,10454892,RELIANCE_NS
2021-07-08,947.7760620117188,965.7345581054688,976.9721069335938,960.3811645507812,976.9721069335938,11185460,RELIANCE_NS
2021-07-09,938.0835571289062,955.8584594726562,965.3192138671875,953.5048217773438,963.6116333007812,9037675,RELIANCE_NS
2021-07-12,943.9262084960938,961.8118286132812,969.8419189453125,957.3814086914062,959.8042602539062,8585292,RELIANCE_NS
2021-07-13,950.9917602539062,969.01123046875,970.5572509765625,963.6347045898438,969.149658203125,6717133,RELIANCE_NS
2021-07-14,944.7868041992188,962.6886596679688,972.3109130859375,960.4965209960938,969.3111572265625,8532544,RELIANCE_NS
2021-07-15,943.1336669921875,961.0042114257812,966.8421630859375,959.2274169921875,966.8421630859375,9448356,RELIANCE_NS
2021-07-16,956.7437744140625,974.8722534179688,975.956787109375,963.4270629882812,963.4962768554688,8828185,RELIANCE_NS
2021-07-19,950.6520385742188,968.6651000976562,980.2256469726562,965.5730590820312,969.149658203125,8354449,RELIANCE_NS
2021-07-20,948.3194580078125,966.288330078125,972.8416748046875,961.7656860351562,968.9188842773438,6741464,RELIANCE_NS
2021-07-22,960.5029907226562,978.7026977539062,980.1795043945312,968.2958984375,977.9181518554688,7972397,RELIANCE_NS
2021-07-23,953.7092895507812,971.7802124023438,985.04833984375,970.095703125,985.04833984375,9937030,RELIANCE_NS
2021-07-26,940.642578125,958.4659423828125,978.8411254882812,955.8123168945312,972.8416748046875,12389668,RELIANCE_NS
2021-07-27,930.7462768554688,948.3821411132812,961.627197265625,942.3826904296875,958.44287109375,10824523,RELIANCE_NS
2021-07-28,922.7522583007812,940.2366943359375,949.7666625976562,930.4990234375,949.7666625976562,12897848,RELIANCE_NS
